,database_name,duration_seconds,latent_factor,object_type1_name,object_type2_name,ranking_place,relation_name,rmse
0,pagila,542.0,5,payment,customer,1,"payment,customer",2.42200548578e-06
1,pagila,542.0,5,film,language,2,"film,language",
2,pagila,542.0,5,payment,staff,3,"payment,staff",3.25565229002e-06
3,pagila,542.0,5,payment,rental,4,"payment,rental",3.65568874141e-06
4,pagila,542.0,5,store,staff,5,"store,staff",8.24656779778e-06
5,pagila,542.0,5,inventory,film,6,"inventory,film",3.22411708705e-05
6,pagila,542.0,5,customer,store,7,"customer,store",3.65201648777e-05
7,pagila,542.0,5,rental,inventory,8,"rental,inventory",0.000235747792107
8,pagila,542.0,5,film_actor,actor,9,"film_actor,actor",0.000449381125695
9,pagila,542.0,5,film_category,film,10,"film_category,film",0.000490442301172
10,pagila,542.0,5,address,city,11,"address,city",0.000641927914019
11,pagila,542.0,5,film_actor,film,12,"film_actor,film",0.000965576512032
12,pagila,542.0,5,film_category,category,13,"film_category,category",0.00218552115313
13,pagila,542.0,5,inventory,store,14,"inventory,store",0.00310245513176
14,pagila,542.0,5,staff,customer,15,"staff,customer",0.00316780446028
15,pagila,542.0,5,city,country,16,"city,country",0.00394639343323
16,pagila,542.0,5,customer,address,17,"customer,address",0.00475123114291
17,pagila,542.0,5,staff,address,18,"staff,address",0.00475231645514
18,pagila,542.0,5,rental,customer,19,"rental,customer",0.00801057829993
19,pagila,542.0,5,staff,rental,20,"staff,rental",0.0497172367105
20,pagila,542.0,5,store,address,21,"store,address",0.0800821718123
21,avtomobilizem,8.0,15,lastnistvo,stranka,1,"lastnistvo,stranka",5.09902483316e-17
22,avtomobilizem,8.0,15,avtomobil,model,2,"avtomobil,model",2.72390717378e-14
23,avtomobilizem,8.0,15,lastnistvo,avtomobil,3,"lastnistvo,avtomobil",3.58688069097e-14
24,avtomobilizem,8.0,15,jezik,jezikovna_skupina,4,"jezik,jezikovna_skupina",7.06532556552e-14
25,avtomobilizem,8.0,15,drzava,jezik,5,"drzava,jezik",0.0107495892943
26,avtomobilizem,8.0,15,model,znamka,6,"model,znamka",0.0137394144167
27,avtomobilizem,8.0,15,avtomobil,drzava,7,"avtomobil,drzava",0.0141648163924
28,avtomobilizem,8.0,15,drzava,model,8,"drzava,model",0.0364767818318
29,pagila,893.0,35,film,language,1,"film,language",
30,pagila,893.0,35,address,city,2,"address,city",1.99627786641e-05
31,pagila,893.0,35,payment,rental,3,"payment,rental",5.61221238543e-05
32,pagila,893.0,35,store,staff,4,"store,staff",7.85815436801e-05
33,pagila,893.0,35,customer,store,5,"customer,store",9.73233837445e-05
34,pagila,893.0,35,film_actor,film,6,"film_actor,film",0.000231397806681
35,pagila,893.0,35,rental,inventory,7,"rental,inventory",0.000246311926195
36,pagila,893.0,35,film_category,film,8,"film_category,film",0.000761888248589
37,pagila,893.0,35,inventory,store,9,"inventory,store",0.000784466173641
38,pagila,893.0,35,customer,address,10,"customer,address",0.00106909324512
39,pagila,893.0,35,staff,address,11,"staff,address",0.00107000103456
40,pagila,893.0,35,inventory,film,12,"inventory,film",0.00204407735869
41,pagila,893.0,35,city,country,13,"city,country",0.00220608273659
42,pagila,893.0,35,payment,customer,14,"payment,customer",0.002221991161
43,pagila,893.0,35,film_category,category,15,"film_category,category",0.00256619596701
44,pagila,893.0,35,staff,customer,16,"staff,customer",0.00337034164617
45,pagila,893.0,35,film_actor,actor,17,"film_actor,actor",0.00421362688747
46,pagila,893.0,35,rental,customer,18,"rental,customer",0.0108432374172
47,pagila,893.0,35,store,address,19,"store,address",0.0179971485416
48,pagila,893.0,35,payment,staff,20,"payment,staff",0.0794738455092
49,pagila,893.0,35,staff,rental,21,"staff,rental",0.111698825832
50,pagila,647.0,15,film,language,1,"film,language",
51,pagila,647.0,15,film_category,category,2,"film_category,category",2.27233706912e-06
52,pagila,647.0,15,store,staff,3,"store,staff",1.26266533099e-05
53,pagila,647.0,15,customer,store,4,"customer,store",3.04149926425e-05
54,pagila,647.0,15,payment,rental,5,"payment,rental",4.46193400881e-05
55,pagila,647.0,15,rental,inventory,6,"rental,inventory",0.000117940733952
56,pagila,647.0,15,film_category,film,7,"film_category,film",0.000258921735596
57,pagila,647.0,15,film_actor,film,8,"film_actor,film",0.000308916805103
58,pagila,647.0,15,film_actor,actor,9,"film_actor,actor",0.000384014211786
59,pagila,647.0,15,inventory,film,10,"inventory,film",0.00149858668994
60,pagila,647.0,15,staff,address,11,"staff,address",0.00207842927772
61,pagila,647.0,15,customer,address,12,"customer,address",0.00207854059059
62,pagila,647.0,15,payment,customer,13,"payment,customer",0.00311344242139
63,pagila,647.0,15,address,city,14,"address,city",0.00344655033734
64,pagila,647.0,15,city,country,15,"city,country",0.00502310524756
65,pagila,647.0,15,staff,customer,16,"staff,customer",0.00537172991928
66,pagila,647.0,15,rental,customer,17,"rental,customer",0.00800189010498
67,pagila,647.0,15,payment,staff,18,"payment,staff",0.0280448401071
68,pagila,647.0,15,store,address,19,"store,address",0.0353956692293
69,pagila,647.0,15,inventory,store,20,"inventory,store",0.0422923497117
70,pagila,647.0,15,staff,rental,21,"staff,rental",0.211282018654
71,avtomobilizem,7.0,15,lastnistvo,stranka,1,"lastnistvo,stranka",6.79869977755e-17
72,avtomobilizem,7.0,15,lastnistvo,avtomobil,2,"lastnistvo,avtomobil",3.62597321469e-16
73,avtomobilizem,7.0,15,avtomobil,model,3,"avtomobil,model",5.73709288643e-16
74,avtomobilizem,7.0,15,jezik,jezikovna_skupina,4,"jezik,jezikovna_skupina",1.69303399165e-15
75,avtomobilizem,7.0,15,drzava,jezik,5,"drzava,jezik",0.010451699182
76,avtomobilizem,7.0,15,model,znamka,6,"model,znamka",0.0137394144167
77,avtomobilizem,7.0,15,avtomobil,drzava,7,"avtomobil,drzava",0.0139130420902
78,avtomobilizem,7.0,15,drzava,model,8,"drzava,model",0.0490208074501
79,pagila,879.0,20,store,staff,1,"store,staff",1.19873168932e-05
80,pagila,879.0,20,film,language,2,"film,language",
81,pagila,879.0,20,customer,store,3,"customer,store",3.08464922529e-05
82,pagila,879.0,20,payment,rental,4,"payment,rental",9.096401931e-05
83,pagila,879.0,20,film_category,film,5,"film_category,film",0.000212075330676
84,pagila,879.0,20,film_actor,actor,6,"film_actor,actor",0.000306997454905
85,pagila,879.0,20,rental,inventory,7,"rental,inventory",0.00035030037278
86,pagila,879.0,20,film_actor,film,8,"film_actor,film",0.000691534389749
87,pagila,879.0,20,payment,customer,9,"payment,customer",0.00109868514889
88,pagila,879.0,20,staff,customer,10,"staff,customer",0.00166072482008
89,pagila,879.0,20,inventory,film,11,"inventory,film",0.00166444759157
90,pagila,879.0,20,address,city,12,"address,city",0.00175459291831
91,pagila,879.0,20,city,country,13,"city,country",0.00334820706629
92,pagila,879.0,20,customer,address,14,"customer,address",0.00438058923416
93,pagila,879.0,20,staff,address,15,"staff,address",0.00438077835424
94,pagila,879.0,20,film_category,category,16,"film_category,category",0.00579507140544
95,pagila,879.0,20,rental,customer,17,"rental,customer",0.00774941266922
96,pagila,879.0,20,inventory,store,18,"inventory,store",0.0140776335185
97,pagila,879.0,20,payment,staff,19,"payment,staff",0.0173957824056
98,pagila,879.0,20,store,address,20,"store,address",0.0742495568472
99,pagila,879.0,20,staff,rental,21,"staff,rental",0.213030238581
100,pagila,818.0,30,payment,rental,1,"payment,rental",3.88849833059e-05
101,pagila,818.0,30,customer,address,2,"customer,address",5.23805465722e-05
102,pagila,818.0,30,staff,address,3,"staff,address",5.29011687904e-05
103,pagila,818.0,30,store,staff,4,"store,staff",0.000125314938991
104,pagila,818.0,30,film,language,5,"film,language",
105,pagila,818.0,30,customer,store,6,"customer,store",0.000116074146266
106,pagila,818.0,30,rental,inventory,7,"rental,inventory",0.000125503328628
107,pagila,818.0,30,address,city,8,"address,city",0.000550405333937
108,pagila,818.0,30,film_actor,film,9,"film_actor,film",0.000642395281075
109,pagila,818.0,30,inventory,film,10,"inventory,film",0.00070137859182
110,pagila,818.0,30,film_category,film,11,"film_category,film",0.00130779270737
111,pagila,818.0,30,store,address,12,"store,address",0.00131342472469
112,pagila,818.0,30,payment,customer,13,"payment,customer",0.0015756818371
113,pagila,818.0,30,film_actor,actor,14,"film_actor,actor",0.00194397941173
114,pagila,818.0,30,city,country,15,"city,country",0.00199125197168
115,pagila,818.0,30,film_category,category,16,"film_category,category",0.00213571846876
116,pagila,818.0,30,staff,customer,17,"staff,customer",0.00281682674726
117,pagila,818.0,30,rental,customer,18,"rental,customer",0.00774326166262
118,pagila,818.0,30,inventory,store,19,"inventory,store",0.0167946509471
119,pagila,818.0,30,payment,staff,20,"payment,staff",0.0463339557532
120,pagila,818.0,30,staff,rental,21,"staff,rental",0.0488202338254
121,avtomobilizem,7.0,15,lastnistvo,stranka,1,"lastnistvo,stranka",6.79869977755e-17
122,avtomobilizem,7.0,15,avtomobil,model,2,"avtomobil,model",6.55772799531e-14
123,avtomobilizem,7.0,15,lastnistvo,avtomobil,3,"lastnistvo,avtomobil",8.71933246471e-14
124,avtomobilizem,7.0,15,jezik,jezikovna_skupina,4,"jezik,jezikovna_skupina",9.12583765053e-14
125,avtomobilizem,7.0,15,drzava,jezik,5,"drzava,jezik",0.0104329922382
126,avtomobilizem,7.0,15,avtomobil,drzava,6,"avtomobil,drzava",0.0132281943709
127,avtomobilizem,7.0,15,model,znamka,7,"model,znamka",0.0137394144167
128,avtomobilizem,7.0,15,drzava,model,8,"drzava,model",0.022842897994
129,pagila,701.0,15,film,language,1,"film,language",
130,pagila,701.0,15,customer,store,2,"customer,store",3.1373726791e-05
131,pagila,701.0,15,film_actor,actor,3,"film_actor,actor",5.6032852269e-05
132,pagila,701.0,15,inventory,film,4,"inventory,film",8.26910007362e-05
133,pagila,701.0,15,payment,rental,5,"payment,rental",0.000131560732415
134,pagila,701.0,15,store,staff,6,"store,staff",0.000137883055179
135,pagila,701.0,15,staff,address,7,"staff,address",0.000150927596489
136,pagila,701.0,15,customer,address,8,"customer,address",0.000159447971586
