,Dummy variable treshold,Ime podatkovne baze,Ime relacije,Latentni faktor,Objektni tip 1,Objektni tip 2,RMSE,St. ponovitve,Vzorcenje
0,0,avtomobilizem,lastnistvo stranka,8,lastnistvo,stranka,0.00229,3,True
1,0,avtomobilizem,lastnistvo avtomobil,8,lastnistvo,avtomobil,0.00524,3,True
2,0,avtomobilizem,avtomobil model,8,avtomobil,model,0.01367,3,True
3,0,avtomobilizem,avtomobil drzava,8,avtomobil,drzava,0.03475,3,True
4,0,avtomobilizem,avtomobil stranka,8,avtomobil,stranka,0.1291,3,True
5,0,avtomobilizem,model drzava,8,model,drzava,0.2339,3,True
6,2,avtomobilizem,lastnistvo stranka,20,lastnistvo,stranka,0.00148,3,True
7,2,avtomobilizem,lastnistvo avtomobil,20,lastnistvo,avtomobil,0.00521,3,True
8,2,avtomobilizem,avtomobil model,20,avtomobil,model,0.0147,3,True
9,2,avtomobilizem,avtomobil drzava,20,avtomobil,drzava,0.02019,3,True
10,2,avtomobilizem,avtomobil stranka,20,avtomobil,stranka,0.12867,3,True
11,2,avtomobilizem,model drzava,20,model,drzava,0.1905,3,True
12,1,avtomobilizem,lastnistvo stranka,27,lastnistvo,stranka,0.0005,2,True
13,1,avtomobilizem,lastnistvo avtomobil,27,lastnistvo,avtomobil,0.00519,2,True
14,1,avtomobilizem,avtomobil stranka,27,avtomobil,stranka,0.12594,2,True
15,1,avtomobilizem,avtomobil drzava,27,avtomobil,drzava,0.27295,2,True
16,1,avtomobilizem,avtomobil model,27,avtomobil,model,2.0155,2,True
17,1,avtomobilizem,model drzava,27,model,drzava,92142.98437,2,True
18,0,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00127,1,True
19,0,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00493,1,True
20,0,avtomobilizem,avtomobil model,4,avtomobil,model,0.0128,1,True
21,0,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.06297,1,True
22,0,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.12928,1,True
23,0,avtomobilizem,model drzava,4,model,drzava,0.23587,1,True
24,1,avtomobilizem,lastnistvo stranka,21,lastnistvo,stranka,0.00096,4,True
25,1,avtomobilizem,lastnistvo avtomobil,21,lastnistvo,avtomobil,0.00505,4,True
26,1,avtomobilizem,avtomobil model,21,avtomobil,model,0.00979,4,True
27,1,avtomobilizem,avtomobil drzava,21,avtomobil,drzava,0.01523,4,True
28,1,avtomobilizem,model drzava,21,model,drzava,0.11918,4,True
29,1,avtomobilizem,avtomobil stranka,21,avtomobil,stranka,0.12486,4,True
30,0,avtomobilizem,lastnistvo stranka,14,lastnistvo,stranka,0.00176,3,True
31,0,avtomobilizem,lastnistvo avtomobil,14,lastnistvo,avtomobil,0.00527,3,True
32,0,avtomobilizem,avtomobil model,14,avtomobil,model,0.01373,3,True
33,0,avtomobilizem,avtomobil drzava,14,avtomobil,drzava,0.02168,3,True
34,0,avtomobilizem,avtomobil stranka,14,avtomobil,stranka,0.12958,3,True
35,0,avtomobilizem,model drzava,14,model,drzava,0.23346,3,True
36,0,avtomobilizem,lastnistvo stranka,27,lastnistvo,stranka,0.00041,3,True
37,0,avtomobilizem,lastnistvo avtomobil,27,lastnistvo,avtomobil,0.00524,3,True
38,0,avtomobilizem,avtomobil drzava,27,avtomobil,drzava,0.0135,3,True
39,0,avtomobilizem,avtomobil model,27,avtomobil,model,0.01372,3,True
40,0,avtomobilizem,avtomobil stranka,27,avtomobil,stranka,0.12904,3,True
41,0,avtomobilizem,model drzava,27,model,drzava,0.23328,3,True
42,1,avtomobilizem,lastnistvo stranka,47,lastnistvo,stranka,0.0003,4,True
